U1,N1,N2,N111,N112,N121,N122,N131,N132,N141,N142,N211,N212,N221,N222,N231,N232,N241,N242,L
8,8,22,26,62,6,8,2,14,26,62,4,10,12,14,8,22,10,22,1
10,0,10,12,24,2,6,0,6,12,24,0,10,10,10,0,10,6,18,1
10,6,6,10,20,6,8,6,8,10,20,4,8,4,6,6,6,22,8,1
7,10,22,16,50,6,12,4,10,16,50,4,18,6,12,6,22,22,24,1
10,10,4,22,12,4,4,4,8,22,12,6,12,14,6,10,4,22,14,1
9,4,10,12,14,4,6,4,6,12,14,4,6,6,8,2,6,22,24,1
8,8,12,22,62,10,6,8,6,22,62,8,6,10,6,8,12,12,12,1
9,6,4,18,26,4,4,2,4,18,26,2,4,4,6,6,4,22,12,1
7,22,10,74,16,14,10,18,10,74,16,16,10,16,20,22,6,22,20,1
9,8,10,20,26,2,10,4,8,20,26,8,6,8,4,4,10,22,24,1
8,2,14,20,22,2,8,8,4,20,22,4,2,2,4,2,10,14,26,1
8,4,22,14,62,10,22,4,22,14,62,6,22,6,22,4,22,14,22,1
10,6,6,20,6,6,6,6,4,20,6,4,4,8,8,6,6,16,20,1
9,12,8,26,10,4,4,4,8,26,10,12,6,10,12,6,4,22,24,1
8,6,10,22,40,4,6,8,10,22,40,8,10,4,12,6,10,12,22,1
9,8,6,26,10,8,4,8,6,26,10,8,6,8,4,8,6,18,24,1
7,6,28,22,74,6,12,6,20,22,74,6,12,6,14,6,28,28,28,1
9,6,6,18,6,2,6,12,16,18,6,16,10,6,4,6,6,14,20,1
7,6,28,22,62,4,26,6,26,22,62,8,26,8,26,6,28,14,28,1
8,6,12,22,62,8,10,8,10,22,62,6,10,4,8,6,12,16,12,1
7,6,50,30,30,6,22,6,14,30,30,12,16,10,48,6,30,14,50,1
9,4,10,14,18,6,2,10,6,14,18,12,4,12,0,4,10,16,26,1
8,14,8,18,18,0,2,2,2,18,18,2,2,8,2,8,8,16,26,1
9,10,12,18,26,8,12,8,12,18,26,6,16,8,14,10,12,12,16,1
7,50,8,30,14,6,8,30,6,30,14,22,8,22,8,26,6,50,18,1
7,8,26,18,60,6,26,4,26,18,60,8,30,6,26,8,26,22,42,1
8,16,8,62,26,12,6,12,4,62,26,16,4,16,6,16,8,16,12,1
9,6,10,12,24,6,6,8,6,12,24,4,12,2,10,6,10,16,18,1
8,20,8,62,10,8,4,12,2,62,10,12,2,14,12,20,2,20,16,1
7,6,18,22,62,4,18,6,18,22,62,6,18,2,18,6,18,8,18,1
9,2,8,20,10,4,12,0,16,20,10,4,12,6,16,2,8,10,16,1
